;;;;;;As of / Three Months Ended;;;;Twelve Months Ended;As of / Three Months Ended;;;;Twelve Months Ended;As of / Three Months Ended;;;;Twelve Months Ended
;Total memberships at end of period;;;;;5.564;5.314;5.060;4.904;;4.741;4.530;4.273;4.114;;3.944;3.758;3.569;3.383;
;Paid memberships at end of period;;;;;5.470;5.219;4.971;4.787;;4.647;4.435;4.194;4.029;;3.867;3.692;3.520;3.330;
;;;;;;;;;;;;;;;;;;;;
;Revenues;;;;; $173.200 ; $164.018 ; $157.524 ; $150.995 ; $645.737 ; $144.747 ; $138.732 ; $132.375 ; $126.413 ; $542.267 ; $120.394 ; $114.737 ; $110.214 ; $105.152 ; $450.497 
;Cost of revenues;;;;;88.594;86.095;77.793;71.426;323.908;73.095;67.830;63.671;58.146;262.742;60.219;52.734;47.087;42.485;202.525
;Contribution profit;;;;;84.606;77.923;79.731;79.569;321.829;71.652;70.902;68.704;68.267;279.525;60.175;62.003;63.127;62.667;247.972
;Contribution margin;;;;;48,80%;47,50%;50,60%;52,70%;49,80%;49,50%;51,10%;51,90%;54,00%;51,50%;50,00%;54,00%;57,30%;59,60%;55,00%
;;;;;;;;;;;;;;;;;;;;
Consolidated;;;;;;;;;;;;;;;;;;;;
;Revenues;;;;; $1.573.129 ; $1.644.694 ; $1.738.355 ; $1.823.333 ; $6.779.511 ; $1.957.736 ; $2.105.204 ; $2.290.188 ; $2.477.541 ; $8.830.669 ; $2.636.635 ; $2.785.464 ; $2.984.859 ; $3.285.755 ; $11.692.713 
;Cost of revenues;;;;;1.046.401;1.121.752;1.173.958;1.249.365;4.591.476;1.369.540;1.473.098;1.532.844;1.654.419;6.029.901;1.657.024;1.902.308;1.992.980;2.107.354;7.659.666
;Marketing;;;;;194.677;197.140;208.102;224.173;824.092;208.010;216.029;282.043;284.996;991.078;271.270;274.323;312.490;419.939;1.278.022
;Contribution profit;;;;; $332.051 ; $325.802 ; $356.295 ; $349.795 ; $1.363.943 ; $380.186 ; $416.077 ; $475.301 ; $538.126 ; $1.809.690 ; $708.341 ; $608.833 ; $679.389 ; $758.462 ; $2.755.025 
;Other operating expenses;;;;;234.595;250.967;282.654;289.901;1.058.117;330.733;345.707;369.265;384.192;1.429.897;451.399;481.026;470.762;513.159;1.916.346
;Operating income;;;;;97.456;74.835;73.641;59.894;305.826;49.453;70.370;106.036;153.934;379.793;256.942;127.807;208.627;245.303;838.679
;;;;;;;;;;;;;;;;;;;;
;Other income (expense);;;;;-59.030;-34.345;-31.403;-39.163;-163.941;-9.574;-19.138;-26.909;-63.665;-119.286;-33.150;-113.845;-92.390;-113.973;-353.358
;Provision for (benefit from) income taxes;;;;;14.730;14.155;12.806;-22.447;19.244;12.221;10.477;27.610;23.521;73.829;45.570;-51.638;-13.353;-54.187;-73.608
;Net Income;;;;; $23.696 ; $26.335 ; $29.432 ; $43.178 ; $122.641 ; $27.658 ; $40.755 ; $51.517 ; $66.748 ; $186.678 ; $178.222 ; $65.600 ; $129.590 ; $185.517 ; $558.929 
