;;;;;;As of / Three Months Ended;;;;Twelve Months Ended;As of / Three Months Ended;;;;Twelve Months Ended;As of / Three Months Ended;;;;Twelve Months Ended
;;;;;;;;;;;;;;;;;;;;
Total Streaming;;;;;;;;;;;;;;;;;;;;
;Total members at end of period;;;;;26.475;27.562;29.412;33.267;;36.316;37.554;40.280;44.350;;48.357;50.045;53.062;57.391;
;Paid members at end of period;;;;;24.431;25.710;27.490;30.363;;34.244;35.638;38.009;41.434;;46.132;47.992;50.654;54.476;
;;;;;;;;;;;;;;;;;;;;
;Revenue;;;;; $550.090 ; $597.678 ; $633.771 ; $690.871 ; $2.472.410 ; $780.668 ; $836.991 ; $884.134 ; $961.972 ; $3.463.765 ; $1.065.735 ; $1.145.686 ; $1.222.835 ; $1.305.239 ; $4.739.495 
;Cost of revenues*;;;;;458.137;491.460;527.684;576.614;2.053.895;607.226;636.998;683.776;717.680;2.645.680;762.361;812.920;857.193;923.404;3.355.878
;Marketing*;;;;;122.152;108.246;102.758;105.493;438.649;119.012;114.512;108.174;127.952;469.650;137.098;120.763;145.654;203.671;607.186
;Contribution profit (loss);;;;;-30.199;-2.028;3.329;8.764;-20.134;54.430;85.481;92.184;116.340;348.435;166.276;212.003;219.988;178.164;776.431
;Contribution margin;;;;;-5,50%;-0,30%;0,50%;1,30%;-0,80%;7,00%;10,20%;10,40%;12,10%;10,10%;15,60%;18,50%;18,00%;13,60%;16,40%
;;;;;;;;;;;;;;;;;;;;
Domestic DVD;;;;;;;;;;;;;;;;;;;;
;Total members at end of period;;;;;10.089;9.240;8.606;8.224;;7.983;7.508;7.148;6.930;;6.652;6.261;5.986;5.767;
;Paid members at end of period;;;;;9.958;9.145;8.465;8.049;;7.827;7.369;7.014;6.765;;6.509;6.167;5.899;5.668;
;;;;;;;;;;;;;;;;;;;;
;Revenues;;;;; $319.701 ; $291.485 ; $271.318 ; $254.368 ; $1.136.872 ; $243.293 ; $232.381 ; $221.865 ; $213.258 ; $910.797 ; $204.354 ; $194.721 ; $186.597 ; $179.489 ; $765.161 
;Cost of revenues*;;;;;173.436;157.491;140.489;126.747;598.163;129.726;123.676;115.124;102.997;471.523;106.825;101.928;97.201;90.928;396.882
;Marketing*;;;;;136;195;155;73;559;74;99;54;65;292; -   ; -   ; -   ; -   ; -   
;Contribution profit;;;;;146.129;133.799;130.674;127.548;538.150;113.493;108.606;106.687;110.196;438.982;97.529;92.793;89.396;88.561;368.279
;Contribution margin;;;;;45,70%;45,90%;48,20%;50,10%;47,30%;46,60%;46,70%;48,10%;51,70%;48,20%;47,70%;47,70%;47,90%;49,30%;48,10%
;;;;;;;;;;;;;;;;;;;;
Consolidated;;;;;;;;;;;;;;;;;;;;
;Revenues;;;;; $869.791 ; $889.163 ; $905.089 ; $945.239 ; $3.609.282 ; $1.023.961 ; $1.069.372 ; $1.105.999 ; $1.175.230 ; $4.374.562 ; $1.270.089 ; $1.340.407 ; $1.409.432 ; $1.484.728 ; $5.504.656 
;Cost of revenues*;;;;;631.573;648.951;668.173;703.361;2.652.058;736.952;760.674;798.900;820.677;3.117.203;869.186;914.848;954.394;1.014.332;3.752.760
;Marketing*;;;;;122.288;108.441;102.913;105.566;439.208;119.086;114.611;108.228;128.017;469.942;137.098;120.763;145.654;203.671;607.186
;Contribution profit;;;;; $115.930 ; $131.771 ; $134.003 ; $136.312 ; $518.016 ; $167.923 ; $194.087 ; $198.871 ; $226.536 ; $787.417 ; $263.805 ; $304.796 ; $309.384 ; $266.725 ; $1.144.710 
;Other operating expenses;;;;;117.865;115.617;117.868;116.674;468.024;136.101;136.970;141.751;144.248;559.070;166.210;175.196;198.977;201.679;742.062
;Operating income (loss);;;;;-1.935;16.154;16.135;19.638;49.992;31.822;57.117;57.120;82.288;228.347;97.595;129.600;110.407;65.046;402.648
;;;;;;;;;;;;;;;;;;;;
;Other income (expense);;;;;-5.090;-5.499;-4.189;-4.734;-19.512;-30.892;-10.468;-7.629;-8.284;-57.273;-8.651;-12.228;-12.870;-19.530;-53.279
;Provision (benefit) for income taxes;;;;;-2.441;4.491;4.271;7.007;13.328;-1.759;17.178;17.669;25.583;58.671;35.829;46.354;38.242;-37.855;82.570
;Net Income (loss);;;;; $(4.584); $6.164 ; $7.675 ; $7.897 ; $17.152 ; $2.689 ; $29.471 ; $31.822 ; $48.421 ; $112.403 ; $53.115 ; $71.018 ; $59.295 ; $83.371 ; $266.799 
